Date Essai;14/11/2021;;;;;;;;
Heure Essai;10:21;;;;;;;;
Frequence (Hz);1000.0;;;;;;;;
Fonctionnement;Uhing;;;;;;;;
Type Pilotage;Creneau;;;;;;;;
Nb cycles;1;;;;;;;;
Duree de marche (s);5.00;;;;;;;;
Duree d'arret (s);1.00;;;;;;;;
Vitesse (tr/min);1000.0;;;;;;;;
 ;;;;;;;;;
Nb points de consigne;2001;;;;;;;;
dt consigne;0.003;;;;;;;;
Temps (s);Consigne (tr/min);Vitesse du moteur (tr/min);Vitesse lineaire (mm/s);Courant (A);Angle (deg);Vitesse lineaire calculee (mm/s);Vitesse de glissement (mm/s);Deplacement (mm);Pas (mm)
0.0760;1000.000;1132.323;94.202;1.620;5.764;89.767;-4.435;4.094;4.757
0.0770;1000.000;1126.580;94.958;1.534;5.764;89.312;-5.646;4.189;4.757
0.0780;1000.000;1121.031;94.958;1.493;5.765;88.889;-6.069;4.284;4.758
0.0790;1000.000;1120.057;94.958;1.525;5.765;88.812;-6.146;4.379;4.758
0.0800;1000.000;1117.818;94.958;1.414;5.765;88.634;-6.323;4.474;4.758
0.0810;1000.000;1117.818;93.446;1.384;5.759;88.549;-4.897;4.567;4.753
0.0820;1000.000;1117.818;86.683;1.343;5.750;88.396;1.712;4.654;4.745
0.0830;1000.000;1115.384;86.683;1.278;5.750;88.203;1.520;4.741;4.745
0.0840;1000.000;1104.286;86.683;1.166;5.759;87.477;0.794;4.827;4.753
0.0850;1000.000;1104.286;86.683;1.140;5.759;87.477;0.794;4.914;4.753
0.0860;1000.000;1102.923;88.157;1.038;5.767;87.487;-0.670;5.002;4.759
0.0870;1000.000;1087.250;88.157;0.924;5.767;86.244;-1.913;5.090;4.759
0.0880;1000.000;1084.719;91.859;0.921;5.767;86.043;-5.817;5.182;4.759
0.0890;1000.000;1079.754;91.859;0.857;5.767;85.649;-6.210;5.274;4.759
0.0900;1000.000;1079.364;91.859;0.762;5.787;85.914;-5.945;5.366;4.776
0.0910;1000.000;1079.364;91.519;0.762;5.787;85.914;-5.605;5.457;4.776
0.0920;1000.000;1078.975;86.948;0.762;5.724;84.946;-2.002;5.544;4.724
0.0930;1000.000;1078.975;86.948;0.921;5.724;84.946;-2.002;5.631;4.724
0.0940;1000.000;1078.975;86.948;1.201;5.737;85.143;-1.804;5.718;4.735
0.0950;1000.000;1071.966;86.495;1.244;5.751;84.786;-1.708;5.805;4.746
0.0960;1000.000;1056.000;84.870;1.568;5.751;83.524;-1.346;5.890;4.746
0.0970;1000.000;1049.186;84.870;1.745;5.748;82.953;-1.917;5.975;4.744
0.0980;1000.000;1049.186;84.870;1.968;5.748;82.953;-1.917;6.059;4.744
0.0990;1000.000;1038.769;84.719;2.063;5.748;82.129;-2.590;6.144;4.744
0.1000;1000.000;1038.769;82.414;2.459;5.748;82.129;-0.285;6.227;4.744
0.1010;1000.000;1038.672;82.414;2.459;5.748;82.121;-0.293;6.309;4.744
0.1020;1000.000;1037.503;84.719;2.471;5.748;82.029;-2.690;6.394;4.744
0.1030;1000.000;1034.388;84.643;2.792;5.748;81.783;-2.861;6.478;4.744
0.1040;1000.000;1034.388;83.472;2.792;5.744;81.720;-1.752;6.562;4.740
0.1050;1000.000;1024.264;82.414;2.952;5.744;80.920;-1.494;6.644;4.740
0.1060;1000.000;1023.680;77.767;2.975;5.744;80.874;3.107;6.722;4.740
0.1070;1000.000;1021.830;80.978;2.975;5.739;80.650;-0.329;6.803;4.736
0.1080;1000.000;1012.776;80.978;2.975;5.739;79.935;-1.043;6.884;4.736
0.1090;1000.000;1012.776;79.656;3.303;5.739;79.935;0.279;6.964;4.736
0.1100;1000.000;1005.572;77.767;3.303;5.739;79.366;1.599;7.041;4.736
0.1110;1000.000;1005.378;76.294;3.305;5.739;79.351;3.058;7.118;4.736
0.1120;1000.000;1005.378;77.767;3.424;5.739;79.351;1.584;7.195;4.736
0.1130;1000.000;1005.378;78.976;3.457;5.754;79.565;0.589;7.274;4.748
0.1140;1000.000;1003.820;78.220;3.470;5.770;79.672;1.451;7.353;4.762
0.1150;1000.000;1003.820;78.220;3.678;5.777;79.763;1.543;7.431;4.768
0.1160;1000.000;1001.289;78.031;3.843;5.777;79.562;1.531;7.509;4.768
0.1170;1000.000;1001.289;78.220;4.044;5.770;79.471;1.250;7.587;4.762
0.1180;1000.000;999.926;78.220;4.605;5.770;79.363;1.142;7.665;4.762
0.1190;1000.000;999.926;78.031;4.627;5.759;79.210;1.179;7.743;4.753
0.1200;1000.000;999.926;78.031;4.627;5.756;79.165;1.133;7.821;4.750
0.1210;1000.000;998.952;78.031;4.663;5.753;79.042;1.010;7.899;4.747
0.1220;1000.000;998.952;78.031;4.663;5.730;78.722;0.691;7.977;4.728
0.1230;1000.000;995.058;78.334;4.627;5.730;78.415;0.082;8.056;4.728
0.1240;1000.000;995.058;78.334;4.627;5.730;78.415;0.082;8.134;4.728
0.1250;1000.000;994.085;78.334;4.663;5.730;78.339;0.005;8.212;4.728
0.1260;1000.000;992.430;78.334;4.663;5.733;78.254;-0.080;8.291;4.731
0.1270;1000.000;992.430;78.334;4.508;5.733;78.254;-0.080;8.369;4.731
0.1280;1000.000;996.616;78.334;4.508;5.733;78.584;0.250;8.447;4.731
0.1290;1000.000;992.430;79.769;4.548;5.736;78.299;-1.470;8.527;4.734
0.1300;1000.000;996.616;80.487;4.581;5.733;78.584;-1.904;8.608;4.731
0.1310;1000.000;992.430;80.487;4.581;5.733;78.254;-2.234;8.688;4.731
0.1320;1000.000;997.589;81.318;4.581;5.736;78.706;-2.612;8.769;4.734
0.1330;1000.000;997.589;81.885;4.611;5.724;78.539;-3.346;8.851;4.724
0.1340;1000.000;997.395;82.339;4.942;5.781;79.314;-3.025;8.934;4.771
0.1350;1000.000;997.395;81.885;5.163;5.781;79.314;-2.572;9.016;4.771
